id	multi	contrast	logFC	PValue	FDR	peptide_ids	phospho_ids	proteins	protein	gene_name	protein_names	sequence_length	n_razor_unique	reverse	contaminant
22	1	Gib-WT	-0.301	0.00152	0.00392	194;21512;27528;29201;33332;40132;45822	18;19;20;21;22	A0A075B754;Q96QE3	A0A075B754;Q96QE3	ATAD5	ATPase family AAA domain-containing protein 5	1224	7	NA	NA
24	1	Gib-WT	0.137	0.0388	0.0615	9697;18653;20125;32022;35026;42019;44801;53823	NA	A0A075B780;O14787;K7ENW1;K7ESC1;K7EMA3	A0A075B780;O14787	TNPO2	Transportin-2	766	6	NA	NA
25	1	Gib-WT	0.222	1.18e-4	5.19e-4	6252;9417;10326;16232;16702;18039;21559;27003;28205;40332;43021;47707;50138;53069;60694	23;24;25;26;27;28;29;30;31	A0A075B784;Q9P275;E9PEW0;K7ELR5;Q8IXW9;K7EQS0;K7EPT1;K7ERC1;K7ELT3;K7EJI3;U3KQ92;K7EMM6	A0A075B784;Q9P275	USP36	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 36	961	15	NA	NA
26	1	Gib-WT	-0.141	0.0213	0.0368	10439;14146;14351;26096;30323;39013;39171;41921	32;33;8740	A0A075B785;A0A2R8Y566;Q9P260	A0A075B785;A0A2R8Y566;Q9P260	KIAA1468	LisH domain and HEAT repeat-containing protein KIAA1468	1017	8	NA	NA
28	1	Gib-WT	-0.161	0.00436	0.00946	30428;47120;50413;51372;59963	NA	U3KQE2;K7EIV0;A0A075B7C0;A0A0C4DGQ5;P04632;U3KPR7;K7EKD8;K7ELJ7;K7EM73	U3KQE2;K7EIV0;A0A075B7C0;A0A0C4DGQ5;P04632;U3KPR7;K7EKD8;K7ELJ7;K7EM73	CAPNS1	Calpain small subunit 1	161	5	NA	NA
30	1	Gib-WT	-0.316	6.13e-6	6.46e-5	10587;16994;19026;24571;24620;31994;34591;35392;55046;58250;58611;59828	NA	E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3	E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881;E2QRB9;E9PKD3	TXNRD1	"Thioredoxin reductase 1, cytoplasmic"	482	12	NA	NA
31	1	Gib-WT	0.539	5.78e-8	5.6e-6	7984;11950;39994;50871;59499	NA	K7ERP4;A0A087X2I2;A0A087WT12;P36969;K7EKX7;R4GNE4;K7ENB4;K7EJ20;A0A087X247;A0A0A0MTT1	K7ERP4;A0A087X2I2;A0A087WT12;P36969;K7EKX7;R4GNE4;K7ENB4;K7EJ20	GPX4	"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	155	5	NA	NA
32	1	Gib-WT	0.0692	0.179	0.231	6763;20288;41353;59164	34	A0A087WT18;Q96A73	A0A087WT18;Q96A73	KIAA1191	Putative monooxygenase p33MONOX	224	4	NA	NA
33	1	Gib-WT	0.076	0.0351	0.0564	11094;12103;26617;29103;34946;37844;38797;46242;51503;53865	10478	A0A087WT20;Q9NV06;B3KME9;E5RHM4;A0A087X1F8	A0A087WT20;Q9NV06;B3KME9;E5RHM4	DCAF13	DDB1- and CUL4-associated factor 13	597	10	NA	NA
35	1	Gib-WT	0.246	2.49e-5	1.64e-4	4433;7118;8833;9269;10680;11195;11723;12116;14506;14579;15064;22945;27736;32605;32669;32718;44069;46908;52246;52790;53007	36;37	A0A087WT45;Q4V328;A0A087WXA6;A0A087WW92;A0A087WZF5	A0A087WT45;Q4V328	GRIPAP1	GRIP1-associated protein 1	796	21	NA	NA
41	1	Gib-WT	0.2	1.68e-4	6.75e-4	16958;35363;47857;57706;59809	38	A0A087WTB8;P15374;Q5TBK7	A0A087WTB8;P15374;Q5TBK7	UCHL3	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase isozyme L3	194	5	NA	NA
44	1	Gib-WT	-0.213	0.00232	0.00556	17519;18586;29906;34258;51604;52547;56214	NA	A0A087WVC6;A0A087WTK0;Q12913	A0A087WVC6;A0A087WTK0;Q12913	PTPRJ	Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase eta	1342	7	NA	NA
45	1	Gib-WT	-0.13	0.00313	0.00716	10975;18730;21563;26458;37099;40081;43450;51706	NA	A0A087WTM1;Q9Y6N7;A0A0A0MSX4;H7C545	A0A087WTM1;Q9Y6N7;A0A0A0MSX4	ROBO1	Roundabout homolog 1	1606	8	NA	NA
48	1	Gib-WT	0.47	3.51e-6	4.5e-5	1110;19901;24366;31044	NA	A0A096LNJ4;A0A087WX43;D6RE84;A0A087WTT9;A0A1B0GVW6;Q9NP73;A0A096LP10;A0A096LNL2	A0A096LNJ4;A0A087WX43;D6RE84;A0A087WTT9;A0A1B0GVW6;Q9NP73;A0A096LP10;A0A096LNL2	ALG13	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13	132	4	NA	NA
49	1	Gib-WT	-0.249	1.49e-4	6.19e-4	3627;13422;21737;22967;31384;42613;43659;47593;49172;49173	NA	A0A087WTU1;A0A0B4J2G4;Q15345;A0A087X0S7;A0A0C4DH00	A0A087WTU1;A0A0B4J2G4;Q15345;A0A087X0S7;A0A0C4DH00	LRRC41	Leucine-rich repeat-containing protein 41	620	10	NA	NA
50	1	Gib-WT	0.179	0.00423	0.00922	10137;15757;57264	43;8744;8745;10479	A0A087WV20;A0A087WTU9;Q8TCU4;A0A494C003;A0A494C0F1;A0A494C1N9;H7C1D9	A0A087WV20;A0A087WTU9;Q8TCU4	ALMS1	Alstrom syndrome protein 1	3859	3	NA	NA
51	1	Gib-WT	-0.14	0.0237	0.04	3066;4808;7333;9498;14730;19157;24355;25747;38906;41138;41964;42669;42773;48834;49991;55038;59106	44;45;46	A0A087WVR3;A0A087WTW0;Q96T88;A0A087WWG9	A0A087WVR3;A0A087WTW0;Q96T88	UHRF1	E3 ubiquitin-protein ligase UHRF1	806	17	NA	NA
53	1	Gib-WT	0.115	0.0793	0.114	11237;25963;54171	NA	H0YI50;A0A087WU02;Q96RQ1;F8VPA6;H0YI58;F8W0R1;F8VR88	H0YI50;A0A087WU02;Q96RQ1;F8VPA6	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	209	3	NA	NA
56	1	Gib-WT	-0.282	1.64e-5	1.22e-4	8733;12312;14806;32288	NA	E9PE15;A0A087WU31;A0A0A0MTB7;P51790;D6RIX3;D6RDZ6;H0Y8Z8	E9PE15;A0A087WU31;A0A0A0MTB7;P51790	CLCN3	Chloride channel protein;H(+)/Cl(-) exchange transporter 3	725	4	NA	NA
57	1	Gib-WT	-0.163	0.0138	0.0253	13956;19120;42930;47218;57478	NA	A0A087WU53;Q9H0U3	A0A087WU53;Q9H0U3	MAGT1	Magnesium transporter protein 1	367	5	NA	NA
59	1	Gib-WT	-0.383	2.47e-6	3.68e-5	2011;16031;26519;29994;34426;37497;60271	NA	A0A087WU65;A0A2R8YE10;A0A2R8YD95;Q9NRW7;A0A1B0GXI6;A0A2R8YF01;A0A2R8YEX8;B7Z7G7	A0A087WU65;A0A2R8YE10;A0A2R8YD95;Q9NRW7;A0A1B0GXI6;A0A2R8YF01	VPS45	Vacuolar protein sorting-associated protein 45	447	7	NA	NA
61	1	Gib-WT	-0.162	4.99e-4	0.00156	7055;7627;16009;17647;31974;35021;35762;42944;56026;59823;60318	48	Q8WYA6;A0A087WUB9;A2A2P1	Q8WYA6;A0A087WUB9	CTNNBL1	Beta-catenin-like protein 1	563	11	NA	NA
62	1	Gib-WT	0.181	0.00246	0.00582	50;9168;16576;24082;30768;38251;46032;60648	NA	A0A087WUC6;E9PI68;Q15005;E9PL01;H0YE04;E9PRB9	A0A087WUC6;E9PI68;Q15005;E9PL01;H0YE04	SPCS2	Signal peptidase complex subunit 2	227	8	NA	NA
63	1	Gib-WT	-0.0706	0.0631	0.0938	14375;14376;18511;32667;39776;39834;43362;45399;46996;50255;50668	49	C9JMY0;A0A087WUE4;Q96PV6;A0A0G2JNN3;E7EWC7;C9J1N5;B0VJY8;A0A0G2JN70;A0A0G2JPW6	C9JMY0;A0A087WUE4;Q96PV6;A0A0G2JNN3	LENG8	Leukocyte receptor cluster member 8	837	11	NA	NA
64	1	Gib-WT	-0.0292	0.429	0.492	13628;26280;28896;30754;41082;56118	NA	A0A087WUI6;Q8WXW3	A0A087WUI6;Q8WXW3	PIBF1	Progesterone-induced-blocking factor 1	698	6	NA	NA
65	1	Gib-WT	-0.208	1.63e-4	6.61e-4	6660;8726;19019;19051;23622;28494;33397;35245;38069;40465;41744;42951;43886;50480;55273;59594	50	A0A087WUK2;O14979;REV__A0A0B4J1R9;REV__Q8N0S2;REV__Q9ULL8	A0A087WUK2;O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	363	16	NA	NA
66	1	Gib-WT	-0.247	1.17e-4	5.17e-4	16681;16711;24481;32188;34666;36529;42876	NA	A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10	A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10	PSMB3	Proteasome subunit beta type-3	145	7	NA	NA
69	1	Gib-WT	0.338	1.71e-5	1.26e-4	10511;10872;17099;20321;31147;36619;36672	NA	A0A087WUQ6;P07203;A0A2R8Y6B6;A0A7I2YMD7;A0A7I2UQ36	A0A087WUQ6;P07203;A0A2R8Y6B6	GPX1	Glutathione peroxidase;Glutathione peroxidase 1	202	7	NA	NA
72	1	Gib-WT	0.173	3.33e-4	0.00114	1771;1772;4213;4814;6848;7310;9106;11247;13031;15475;15597;22599;22874;23488;24342;25545;25622;25659;27585;28059;28276;28576;28862;29701;31715;37294;41908;47379;52946;54993;54994;57863;58513;58514	54;55;56;57;58;59;60;61	A0A087WUT6;O60841	A0A087WUT6;O60841	EIF5B	Eukaryotic translation initiation factor 5B	1220	34	NA	NA
75	1	Gib-WT	0.314	6.66e-5	3.39e-4	22762;29020;29825;45799;59192;59193	NA	Q99417;A0A087WV05;A0A0D9SEI7	Q99417;A0A087WV05	MYCBP	C-Myc-binding protein	103	6	NA	NA
78	1	Gib-WT	0.0258	0.595	0.652	8360;43437;58030	65;66	Q8WU79;A0A087WV97;X6RCC3	Q8WU79;A0A087WV97	SMAP2	Stromal membrane-associated protein 2	429	3	NA	NA
82	1	Gib-WT	0.525	0.137	0.182	3333;14236;28831;56818	NA	A0A087WVD1;Q96B70	A0A087WVD1;Q96B70	LENG9	Leukocyte receptor cluster member 9	478	4	NA	NA
83	1	Gib-WT	-0.0379	0.514	0.574	11820;12277;50521	NA	A0A087WVD7;Q9Y3D8;D6RDH4	A0A087WVD7;Q9Y3D8;D6RDH4	TAF9;AK6	Adenylate kinase isoenzyme 6	109	3	NA	NA
86	1	Gib-WT	0.277	3.57e-5	2.14e-4	2040;8005;10069;15703;16126;18439;27560;32954;41463;45671;50477;51389;56042;60590	70	A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q4VXM0;Q5JYA8;Q5JYA3;Q4VXV2	A0A087WVM4;B7ZM99;Q6UB35	MTHFD1L	"Monofunctional C1-tetrahydrofolate synthase, mitochondrial"	913	13	NA	NA
87	1	Gib-WT	0.785	1.34e-8	3.19e-6	180;2419;20550;31531;35492;44390;44878;53444	71;72	A0A087WVP4;A0A087X1R1;P53814;A0A096LNK9;H7BZZ8;B5MCI0	A0A087WVP4;A0A087X1R1;P53814	SMTN	Smoothelin	971	8	NA	NA
88	1	Gib-WT	-0.266	1.18e-5	9.74e-5	972;2579;2642;3206;6169;6439;6816;10802;11315;12604;14117;14994;15555;17153;20912;20954;20955;22495;22540;23420;24724;26043;26516;26678;26986;27219;27250;28785;29069;29263;29620;30811;31454;31617;31926;33814;35108;37455;37560;37759;37799;39314;40976;42064;43096;43381;49510;49560;52989;54275;55344;55834;57483;58013;59298;59640	NA	A0A087WVQ6;Q00610;J3KS13;A0A087WX41;P53675;K7EJJ5;J3KSQ2;J3KRF5;J3QL20	A0A087WVQ6;Q00610	CLTC	Clathrin heavy chain;Clathrin heavy chain 1	1679	56	NA	NA
91	1	Gib-WT	-0.114	0.0101	0.0193	5755;12433;12877;13679;14906;15412;26401;32133;33126;34050;36284;39315;41357;41394;41517;44419;44534;47510;48188;48619;48954;49213;50796;51194;51195;52475;52606;58246	75;76;77;78;79;80;81;82;83;84;8747	A0A087WVZ6	A0A087WVZ6	ZMYND8	NA	1136	4	NA	NA
93	1	Gib-WT	-0.143	9.86e-4	0.00274	24213;28659;36844;50718	NA	A0A087WW40;Q9Y371	A0A087WW40;Q9Y371	SH3GLB1	Endophilin-B1	394	4	NA	NA
94	1	Gib-WT	-0.124	0.02	0.0348	21357;28848;32717;35770;52993;54318;57095	NA	A0A590UJS8;A0A087WW65;A0A5F9ZA98;O75027;B4DGL8;A0A2R8Y473;E9PJR8	A0A590UJS8;A0A087WW65;A0A5F9ZA98;O75027;B4DGL8;A0A2R8Y473	ABCB7	"ATP-binding cassette sub-family B member 7, mitochondrial"	693	7	NA	NA
95	1	Gib-WT	-0.206	0.00149	0.00386	8961;9472;9947;10880;11577;14239;17626;22461;22695;24210;24400;27159;27575;29194;29775;31563;35060;35214;35215;36423;36441;39473;39681;39830;47142;52346;52362;53153;53634;53635;56399;57535;59408	85;86;87;8748	A0A087WW66;Q99460;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V641;A0A7I2V2K8;A0A7I2V479;A0A7I2V523;A0A7I2V4X0;A0A7I2YQI9;A0A7I2V491;A0A7I2V4A5;H7BZR6;C9J9M4	A0A087WW66;Q99460;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V641;A0A7I2V2K8;A0A7I2V479;A0A7I2V523;A0A7I2V4X0;A0A7I2YQI9;A0A7I2V491	PSMD1	26S proteasome non-ATPase regulatory subunit 1	914	33	NA	NA
96	1	Gib-WT	-0.288	3.95e-5	2.29e-4	1765;3325;6662;15829;26662;32703;33768;37322;43351;51185;53567;55298	NA	A0A087WW77;Q15334	A0A087WW77;Q15334	LLGL1	Lethal(2) giant larvae protein homolog 1	1056	12	NA	NA
98	1	Gib-WT	-0.087	0.0337	0.0545	5623;34804;46772;50896;51958;56526	88;89	Q9UQN3;A0A087WW88;C9J0A7	Q9UQN3;A0A087WW88;C9J0A7	CHMP2B	Charged multivesicular body protein 2b	213	6	NA	NA
99	1	Gib-WT	0.127	0.15	0.198	1183;5319;12132;18617;25449;26409;26456;35977;46533;52507;53502;53841;54413	90;91;92;8749	A0A087WWA3;Q4R9M9;O60333;A0A0U1RQL3;H7C0K6	A0A087WWA3;Q4R9M9;O60333	KIF1B;KIF1Bbeta	Kinesin-like protein;Kinesin-like protein KIF1B	1797	13	NA	NA
101	1	Gib-WT	0.0696	0.0731	0.107	3890;15856;22853;27597;28394;55774;56919;59659	NA	A0A087WWF6;P49005;F8W8R3;C9IZD2;C9J8Z7;C9JLE1;C9JHC7;H7C1B3	A0A087WWF6;P49005;F8W8R3;C9IZD2;C9J8Z7;C9JLE1	POLD2	DNA polymerase delta subunit 2	504	8	NA	NA
105	1	Gib-WT	-0.192	9.92e-4	0.00275	17541;19571;48965;53592;55389	95;8752	Q9P2T1;F8WAN9;H0YNJ6;A0A087WWM4;H0YLV5;H0YMB3;H0YLB8;H0YNH0;H0YK71;H0YNS9;H0YMW6;H0YK13;H0YN22;H0YMV5;H0YMR9;H0YKE1;P36959;H0YL68	Q9P2T1;F8WAN9;H0YNJ6;A0A087WWM4;H0YLV5;H0YMB3	GMPR2	GMP reductase 2;GMP reductase	348	5	NA	NA
106	1	Gib-WT	-0.0682	0.0599	0.0898	15574;21091;22438;26067;30482;30882;32993;37634;39733;44523;46883;48154;48328;48786;48787;49936;53264;54586;55285;60084	96;97;98;99;100;101;102;103;104	A0A494C001;A0A499FJY3;A0A087WWP4;Q96T37	A0A494C001;A0A499FJY3;A0A087WWP4;Q96T37	RBM15	Putative RNA-binding protein 15	896	20	NA	NA
107	1	Gib-WT	0.589	0.0228	0.0388	5838;6210;8013;20625;42526;51126	NA	A0A087WWP8;Q5VWQ0;A0A0C4DGT8;A0A0C4DH79	A0A087WWP8;Q5VWQ0;A0A0C4DGT8;A0A0C4DH79	RSBN1	Round spermatid basic protein 1	754	6	NA	NA
108	1	Gib-WT	-0.0218	0.57	0.628	6161;8277;13586;25070;25243;30218;37942;40532;45602;47285;47463;49687;50115;51074;51075	105	A0A087WWS1;Q96FV9;R4GMN4;A0A087WY84;J3KT14;R4GN58	A0A087WWS1;Q96FV9	THOC1	THO complex subunit 1	657	15	NA	NA
109	1	Gib-WT	0.0979	0.0109	0.0206	10038;38474;43446	106	Q96Q45;A0A087WWU1;F2Z329	Q96Q45;A0A087WWU1;F2Z329	TMEM237	Transmembrane protein 237	408	3	NA	NA
110	1	Gib-WT	0.324	1.99e-5	1.4e-4	172;1526;2246;3390;11656;13836;14407;22776;22777;25818;25925;27547;27769;29077;31962;34292;35125;35493;43085;51402;51403	NA	A0A087WWU8;D6R904;A0A494C0G0;H0YL80;Q5VU61	A0A087WWU8	TPM3	NA	227	21	NA	NA
111	1	Gib-WT	-0.0248	0.724	0.769	11428;19982;47252;50763	107;108	A0A087WWW9;O95999	A0A087WWW9;O95999	BCL10	B-cell lymphoma/leukemia 10	222	4	NA	NA
120	1	Gib-WT	0.2	0.0619	0.0923	1294;24964;30158;48608	NA	A0A087WX95;A0A087WVK5;A0A087WW20;Q9BVN2;A0A087WYU8;A0A087WZ68;Q68CX2;A0A087WYB2	A0A087WX95;A0A087WVK5;A0A087WW20;Q9BVN2;A0A087WYU8	RUSC1	RUN and SH3 domain-containing protein 1	271	4	NA	NA
121	1	Gib-WT	0.107	0.0612	0.0914	22627;28361;28557;28640;33066;39680;50954;55888;57972;60434	NA	O95299;E7ESZ7;A0A087WXC5;A0A7I2V594;A0A7I2YQU0;A0A7I2V419;A0A7I2V4N8;A0A7I2V2N6;H7C2X4;H7C1Y7;A0A7I2V5B2;A0A7I2V5U7;A0A7I2V2X3;A0A7I2V458;A0A7I2V2W9;A0A7I2V438;A0A7I2V5L0;A0A7I2V327;A0A7I2V3H5;H7C2W5;A0A7I2V2F6;C9J6X0;A0A7I2V2I6;Q8N1B9;A0A7I2V2J5	O95299;E7ESZ7;A0A087WXC5;A0A7I2V594;A0A7I2YQU0;A0A7I2V419;A0A7I2V4N8;A0A7I2V2N6;H7C2X4;H7C1Y7;A0A7I2V5B2;A0A7I2V5U7;A0A7I2V2X3;A0A7I2V458;A0A7I2V2W9;A0A7I2V438;A0A7I2V5L0;A0A7I2V327;A0A7I2V3H5	NDUFA10	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"	355	10	NA	NA
123	1	Gib-WT	-0.0201	0.608	0.664	8363;45341;54647;58109;60407	116	A0A0D9SEW3;A0A087WXF8;Q9NP64;A0A087WXU5;A0A087WYV3;A0A087WYF0	A0A0D9SEW3;A0A087WXF8;Q9NP64;A0A087WXU5;A0A087WYV3	ZCCHC17	Nucleolar protein of 40 kDa	243	5	NA	NA
124	1	Gib-WT	0.0771	0.112	0.153	10039;17035;21813;26764;27956;40140	117;118	A0A087WXK8;Q9H4H8	A0A087WXK8;Q9H4H8	FAM83D	Protein FAM83D	615	6	NA	NA
126	1	Gib-WT	0.32	1.11e-4	4.99e-4	14532;19983;25525;28212;36356;42467;43982;57229;60405	119;120;121	A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0	A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81	RPL17;RPL17-C18orf32	60S ribosomal protein L17	169	9	NA	NA
127	1	Gib-WT	-0.291	0.00197	0.00485	12154;33738;34311	NA	P50895;A0A087WXM8;K7ENU8	P50895;A0A087WXM8	BCAM	Basal cell adhesion molecule	628	3	NA	NA
128	1	Gib-WT	-7.26E-04	0.988	0.99	29824;49578;53436	122;123;124	Q96CB8;A0A087WXN4;E9PGI3	Q96CB8;A0A087WXN4	INTS12	Integrator complex subunit 12	462	3	NA	NA
129	1	Gib-WT	-0.00285	0.964	0.971	2409;9848;21236;46370	125;126;127	Q765P7;A0A087WXN9;H3BPV0	Q765P7;A0A087WXN9	MTSS1L	MTSS1-like protein	747	4	NA	NA
131	1	Gib-WT	0.0217	0.664	0.714	13667;32384;33238;52243;56685;57159	NA	Q5TBB1;A0A2R8Y761;A0A2R8Y7R8;A0A2R8YEH2;A0A2R8Y6Y1;A0A2R8Y4S2;A0A2R8Y687;A0A2R8YGP2;A0A2R8Y6Q6;A0A2R8Y6M7;A0A2R8YCJ4;A0A087WZJ6;A0A2R8YCX2;A0A087WXR7;A0A2R8YEU9;A0A2R8Y883;A0A2R8YCP1;A0A2R8YE60;A0A2R8YEC1;A0A2R8Y459;A0A2R8Y7Q3;A0A2R8YEB4	Q5TBB1;A0A2R8Y761;A0A2R8Y7R8;A0A2R8YEH2;A0A2R8Y6Y1;A0A2R8Y4S2;A0A2R8Y687;A0A2R8YGP2;A0A2R8Y6Q6;A0A2R8Y6M7;A0A2R8YCJ4;A0A087WZJ6;A0A2R8YCX2;A0A087WXR7;A0A2R8YEU9;A0A2R8Y883;A0A2R8YCP1;A0A2R8YE60;A0A2R8YEC1;A0A2R8Y459;A0A2R8Y7Q3;A0A2R8YEB4	RNASEH2B	Ribonuclease H2 subunit B	312	6	NA	NA
136	1	Gib-WT	0.0325	0.336	0.399	31961;33982;34594;35252;46155;58995	NA	Q9NP79;A0A087WY55;Q5TGM0	Q9NP79;A0A087WY55;Q5TGM0	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	307	6	NA	NA
138	1	Gib-WT	-0.102	0.00939	0.0181	4976;8051;11831;15046;21640;32317;41934;47173;47196	8756	A0A087WY71;E9PFW3;Q96CW1;C9JJ47;H7C4C3;C9JJD3;C9JPV8;C9JGT8	A0A087WY71;E9PFW3;Q96CW1;C9JJ47	AP2M1	AP-2 complex subunit mu	434	9	NA	NA
142	1	Gib-WT	0.211	0.0232	0.0394	1683;4378;5440;5796;9649;10255;10256;14795;14992;39543	137;138;139;140;8757	Q9UJZ1;A0A087WYB4;F2Z2I8	Q9UJZ1;A0A087WYB4	STOML2	"Stomatin-like protein 2, mitochondrial"	356	10	NA	NA
145	1	Gib-WT	0.212	9.9e-5	4.57e-4	6940;22156;23456;30677;31954;36968;45137;58318;60646	NA	Q6UXV4;A0A087WYF7;A0A087WUX8	Q6UXV4;A0A087WYF7;A0A087WUX8	APOOL	MICOS complex subunit MIC27	268	9	NA	NA
151	1	Gib-WT	5.03e-4	0.99	0.991	10714;38700;50305	NA	A0A087WYL7;G3V4A5;O75586	A0A087WYL7;G3V4A5;O75586	MED6	Mediator of RNA polymerase II transcription subunit 6	257	3	NA	NA
